provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (%),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
https://devnet.zama.ai,102,13,156.07,44.22,12.50,0.87,3.99,0xd90d84948d59b7b821c2b05b9f1462cacd09f20942939b984e391a5a1c540a15,1187697,1187408
https://devnet.zama.ai,103,13,156.40,44.22,33.33,0.86,8.90,0xe66d038f3f134be089f7eb32c716fb3115eb5644736470dd45e9228fde2e4676,1187694,1187405
https://devnet.zama.ai,104,16,156.03,44.22,42.86,1.42,8.29,0xdcc245aa0c9c1bfa3990bb98f7c6b42184df03e7b2622371fc4f8917c6b39df4,1187727,1187438
https://devnet.zama.ai,105,14,155.96,44.22,18.18,0.87,8.19,0x8b773b6b58e2f23e02bd3e687e6f549e6d179e0e671d81e46e77487066861a00,1187760,1187471
https://devnet.zama.ai,106,18,156.19,44.22,46.15,1.93,8.20,0x0a6513d15d85ae152dbae0693e1180298e059015f06319e3c7cd67a391313303,1187829,1187540
https://devnet.zama.ai,107,13,156.26,44.22,10.00,0.85,3.38,0xef94d1464921be0bf185f08803a04683f106734bc5c6d6cb812fc06ec48b27ad,1187715,1187426
https://devnet.zama.ai,108,15,156.17,44.22,50.00,1.53,4.16,0x3bb8866f5c8bd1100c5d2c73c5d0e09b5ba4d767f66e2b7b2c2aca7fea81cec0,1187745,1187456
https://devnet.zama.ai,109,14,156.05,44.22,25.00,0.88,8.09,0xa0ecaa465d28b788e0c587f15da4329f550b51bbcd70a1dcaad499bc682c2b06,1187787,1187498
https://devnet.zama.ai,110,13,156.00,44.22,27.27,0.87,3.16,0xe5afd8bf6d9b0eb4fd7aa8a225bed3c3a27a6a7c63f6839938c75133a260a105,1187775,1187486
https://devnet.zama.ai,111,14,156.13,44.22,10.00,0.86,3.81,0x1bd5ec21cf48307fd0a793bef1761b5ca5d7eaab7fb869cad586a5a45e4a31f2,1187751,1187462
https://devnet.zama.ai,112,18,156.05,44.22,42.86,1.70,3.73,0x212c44f6269819b5482991eaffbfe4c1a328ea76aa6b062d3c8f4df5ce7124f4,1187721,1187432
