requests,timestamp,encryptionTime_s,cpuUserDelta_s,cpuSystemDelta_s,rss_MB,heapTotal_MB,heapUsed_MB,external_MB
10 Requests,2025-04-13T13:15:26.718Z,0.09,0.080699,0.011021,149.8359375,77.9765625,50.373077392578125,14.25034236907959
10 Requests,2025-04-13T13:15:26.724Z,0.096,0.086036,0.011031,150.3515625,78.39453125,51.21620178222656,14.70348834991455
10 Requests,2025-04-13T13:15:26.730Z,0.102,0.092658,0.011033,150.8671875,78.8125,52.00390625,15.15661907196045
10 Requests,2025-04-13T13:15:26.735Z,0.107,0.097939,0.011033,151.125,79.23046875,52.846778869628906,15.609506607055664
10 Requests,2025-04-13T13:15:26.741Z,0.113,0.103649,0.011033,151.640625,79.6484375,53.689697265625,16.06248188018799
10 Requests,2025-04-13T13:15:26.746Z,0.118,0.109264,0.011033,152.15625,80.06640625,54.47737121582031,16.515536308288574
10 Requests,2025-04-13T13:15:26.765Z,0.115,0.097131,0.021658,148.44921875,76.015625,44.879737854003906,13.504100799560547
10 Requests,2025-04-13T13:15:26.770Z,0.12,0.102246,0.021661,148.70703125,76.43359375,45.65654754638672,13.956960678100586
10 Requests,2025-04-13T13:15:26.822Z,0.073,0.049519,0.021191,155.59375,83.25390625,56.62339782714844,13.760848999023438
10 Requests,2025-04-13T13:15:26.827Z,0.077,0.054398,0.021193,156.109375,83.671875,57.391021728515625,14.214180946350098
10 Requests,2025-04-13T13:15:26.833Z,0.083,0.060777,0.021315,156.3671875,84.08984375,58.24169921875,14.667052268981934
10 Requests,2025-04-13T13:15:26.839Z,0.089,0.066994,0.021318,156.8828125,84.5078125,59.02178955078125,15.119939804077148
10 Requests,2025-04-13T13:15:26.844Z,0.094,0.071734,0.021404,157.3984375,84.92578125,59.86492919921875,15.573101043701172
10 Requests,2025-04-13T13:15:26.850Z,0.099,0.077149,0.021405,157.65625,85.34375,60.70780944824219,16.02609348297119
10 Requests,2025-04-13T13:15:26.854Z,0.103,0.081547,0.021405,158.171875,85.76171875,61.49537658691406,16.479053497314453
10 Requests,2025-04-13T13:15:26.859Z,0.108,0.084861,0.021406,158.6875,86.1796875,62.338233947753906,16.931978225708008
10 Requests,2025-04-13T13:15:26.878Z,0.105,0.091249,0.011038,153.0390625,82.37890625,52.741424560546875,13.920618057250977
10 Requests,2025-04-13T13:15:26.884Z,0.11,0.096301,0.011561,153.296875,82.796875,53.50879669189453,14.373701095581055
10 Requests,2025-04-13T13:15:26.937Z,0.075,0.063235,0.009231,160.796875,89.6875,63.400848388671875,14.177366256713867
10 Requests,2025-04-13T13:15:26.942Z,0.08,0.068003,0.009729,161.3125,90.10546875,64.16805267333984,14.63027572631836
10 Requests,2025-04-13T13:15:26.948Z,0.086,0.07357,0.009731,161.5703125,90.5234375,65.01089477539062,15.083147048950195
10 Requests,2025-04-13T13:15:26.953Z,0.091,0.079309,0.009847,162.34375,90.94140625,65.7984848022461,15.536237716674805
10 Requests,2025-04-13T13:15:26.958Z,0.095,0.084144,0.009849,163.1171875,91.359375,66.6413803100586,15.989140510559082
10 Requests,2025-04-13T13:15:26.963Z,0.1,0.089022,0.009849,163.890625,91.77734375,67.4842529296875,16.442069053649902
10 Requests,2025-04-13T13:15:26.968Z,0.104,0.093902,0.009849,164.6640625,92.1953125,68.27195739746094,16.895255088806152
10 Requests,2025-04-13T13:15:26.973Z,0.109,0.099059,0.009849,165.6953125,92.61328125,69.12123107910156,17.34815216064453
10 Requests,2025-04-13T13:15:26.990Z,0.102,0.08289,0.019126,160.015625,89.828125,59.917694091796875,14.337135314941406
10 Requests,2025-04-13T13:15:26.994Z,0.106,0.086969,0.019569,160.2734375,90.24609375,60.68499755859375,14.790199279785156
10 Requests,2025-04-13T13:15:27.045Z,0.069,0.049235,0.019692,168.08984375,97.31640625,71.25569915771484,14.593883514404297
10 Requests,2025-04-13T13:15:27.050Z,0.074,0.049006,0.024794,168.60546875,97.734375,72.03308868408203,15.046504974365234
10 Requests,2025-04-13T13:15:27.055Z,0.079,0.048854,0.029937,168.86328125,98.15234375,72.8753433227539,15.499650955200195
10 Requests,2025-04-13T13:15:27.059Z,0.083,0.05379,0.029956,169.63671875,98.5703125,73.7182388305664,15.952624320983887
10 Requests,2025-04-13T13:15:27.065Z,0.089,0.059,0.03005,170.41015625,98.98828125,74.50582122802734,16.40569019317627
10 Requests,2025-04-13T13:15:27.070Z,0.094,0.064121,0.030053,171.18359375,99.40625,75.3488540649414,16.858773231506348
10 Requests,2025-04-13T13:15:27.074Z,0.098,0.068979,0.030053,171.95703125,99.82421875,76.19188690185547,17.3118896484375
10 Requests,2025-04-13T13:15:27.080Z,0.104,0.07448,0.030053,172.98828125,100.2421875,76.9792709350586,17.764756202697754
10 Requests,2025-04-13T13:15:27.097Z,0.1,0.087568,0.019547,169.05078125,97.19140625,67.59275817871094,14.753652572631836
10 Requests,2025-04-13T13:15:27.101Z,0.103,0.092159,0.019547,169.56640625,97.609375,68.35829162597656,15.20687198638916
10 Requests,2025-04-13T13:15:27.153Z,0.07,0.076321,0.000208,177.53125,104.765625,78.74088287353516,15.205713272094727
10 Requests,2025-04-13T13:15:27.158Z,0.075,0.0813,0.000211,178.046875,105.18359375,79.50767517089844,15.658912658691406
10 Requests,2025-04-13T13:15:27.162Z,0.079,0.086047,0.000211,178.3046875,105.6015625,80.3511734008789,16.174609184265137
10 Requests,2025-04-13T13:15:27.167Z,0.084,0.090792,0.000211,179.078125,106.01953125,81.13865661621094,16.690074920654297
10 Requests,2025-04-13T13:15:27.172Z,0.089,0.095819,0.000211,179.8515625,106.4375,81.98126220703125,17.14305591583252
10 Requests,2025-04-13T13:15:27.177Z,0.094,0.101391,0.000211,180.8828125,106.85546875,82.82466888427734,17.658687591552734
10 Requests,2025-04-13T13:15:27.182Z,0.099,0.106706,0.000211,181.65625,107.2734375,83.62783813476562,18.174192428588867
10 Requests,2025-04-13T13:15:27.188Z,0.105,0.11243,0.000211,182.4296875,107.69140625,84.4725341796875,18.627408981323242
10 Requests,2025-04-13T13:15:27.208Z,0.104,0.117455,0.000561,177.5234375,104.90625,75.3983154296875,15.677982330322266
10 Requests,2025-04-13T13:15:27.214Z,0.109,0.122924,0.000561,178.0390625,105.32421875,76.16539764404297,16.193345069885254
10 Requests,2025-04-13T13:15:27.266Z,0.073,0.090304,0.000319,142.8984375,67.9921875,33.218482971191406,13.065950393676758
10 Requests,2025-04-13T13:15:27.271Z,0.078,0.095907,0.0003,143.15625,68.41015625,34.175262451171875,13.518898010253906
10 Requests,2025-04-13T13:15:27.276Z,0.083,0.101129,0.000284,143.671875,68.828125,35.019378662109375,13.972020149230957
10 Requests,2025-04-13T13:15:27.281Z,0.088,0.105926,0.000267,144.1875,69.24609375,35.80584716796875,14.424957275390625
10 Requests,2025-04-13T13:15:27.286Z,0.092,0.109807,0.000075,144.4453125,69.6640625,36.648902893066406,14.877999305725098
10 Requests,2025-04-13T13:15:27.291Z,0.097,0.114822,0.000065,145.21875,70.08203125,37.49176025390625,15.330879211425781
10 Requests,2025-04-13T13:15:27.296Z,0.102,0.119933,0.000055,145.9921875,70.5,38.28135681152344,15.783916473388672
10 Requests,2025-04-13T13:15:27.301Z,0.107,0.12507,0.000051,146.765625,70.91796875,39.12211608886719,16.236746788024902
10 Requests,2025-04-13T13:15:27.319Z,0.099,0.091804,0.010167,141.27734375,66.703125,28.822494506835938,13.225719451904297
10 Requests,2025-04-13T13:15:27.324Z,0.104,0.095819,0.010624,141.53515625,67.12109375,29.59625244140625,13.678695678710938
10 Requests,2025-04-13T13:15:27.376Z,0.071,0.058072,0.010304,148.42578125,73.94140625,40.545005798339844,13.482467651367188
