provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (ms),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
http://localhost:8545,80,16,156.15,44.22,15.92,0.87,8.13,0x75753cc723df6e4a6c69a7d8b4d2c1fdafc0fcf8d0a902ff374d46d4c838e820,2740731,2740450
http://localhost:8545,81,17,156.08,44.22,16.26,0.86,9.16,0x2c264d83ba672ad3b6986f2083dd09e08b3793c79c2a5306eeeb87ac184229df,2740650,2740369
http://localhost:8545,82,27,156.05,44.22,60.87,1.61,8.12,0x059fe157860542be9d45f3b61bc91fe3f27c684dc0e49bfa11abc4dbc998ee38,2740677,2740396
http://localhost:8545,83,13,156.02,44.22,12.68,0.86,9.13,0xa516a7e184c8eb3b3d6112537f36b2af88583d770a3a0c3a5f48daf183ad6994,2740776,2740495
http://localhost:8545,84,16,156.10,44.22,16.17,0.87,7.14,0x9b2c59ba99a27e2216403a5a7dae4d7f7bbe9d52f6e5dea06ddb12705213e85a,2740728,2740447
http://localhost:8545,85,18,156.17,44.22,18.10,0.87,9.13,0x73ad98da66cb3c5d4095e19e277d6f61b4700195e42f9fa49d218813ca6e4010,2740734,2740453
http://localhost:8545,86,16,156.13,44.22,47.45,1.63,8.18,0x74ae2664b0d0e810455bda0748d2418f626d411df2ac148e9c4a4e27b4a78802,2740701,2740420
http://localhost:8545,87,14,156.12,44.22,14.31,0.85,7.16,0xec109f712f86a328c5ec6d4c96950b46e95998db697914b0784e207c421dd02b,2740710,2740429
http://localhost:8545,88,17,155.99,44.22,16.83,0.85,9.12,0x852523faf43704b21169cdcf12fcd6198b943953e282d0936c661543ab1b94e2,2740725,2740444
http://localhost:8545,89,16,156.01,44.22,15.61,0.86,8.14,0x5e2acf174bf1a76683005026f7d9086ab9d31e2817d29cd5d518d50709d9492e,2740800,2740519
http://localhost:8545,90,29,156.20,44.22,69.19,1.29,8.15,0xc099a5192eca170f7fb23273df7659c2c8dd50573b929589c4bdbfa148f992b4,2740689,2740408
http://localhost:8545,91,15,156.24,44.22,15.82,0.87,8.12,0xe7c0eb88dcdab8b1b5c415cc0f82ee0e8f6add20800729860d46b5d1880d1597,2740758,2740477
http://localhost:8545,92,16,156.27,44.22,16.30,0.87,8.14,0xeb018f53b9b762be6b4c4672484c06acfe5dce1d61d26d3876a7e430c175c032,2740785,2740504
http://localhost:8545,93,20,156.33,44.22,20.00,0.87,8.13,0xed42941d243201da7ca543e23b218f6969f296a9ef67a626e4005e8516caaefc,2740749,2740468
http://localhost:8545,94,26,156.28,44.22,67.69,1.37,8.13,0x16c4d41b67a3c8471176d4db0c878926e03b39ba766e81e5832312b5ec9900a6,2740725,2740444
http://localhost:8545,95,16,156.19,44.22,15.71,0.86,8.15,0x26ba17025a2acc9c05ea9cefe1f6bab89e5d4517788267294802334fbb9dba50,2740749,2740468
http://localhost:8545,96,15,156.03,44.22,14.74,0.85,9.13,0x8d853ebfaf096651b262d4dbea3741d076d6224c317c8746ae76eb06d3861fb4,2740710,2740429
http://localhost:8545,97,16,156.19,44.22,16.56,0.86,7.13,0xadff565fe218c8ebc27c594de76c70e59d2ab45f81fd7875a058145c2d5e9459,2740731,2740450
http://localhost:8545,98,25,156.11,44.22,61.54,1.42,8.14,0xd011d70860e95c8a56432aeb9a783c446cdefbed2f6cab4ae6c8928fd62a5be0,2740755,2740474
http://localhost:8545,99,15,156.19,44.22,15.35,0.86,9.12,0xeb4e2e1a4681872bf690d027586adc2ff94d669bf3fadd0b36aa3a44aff4990e,2740749,2740468
http://localhost:8545,100,29,156.16,44.22,25.30,0.87,8.14,0xd57fdd90a768dc1398b33aae53767ddf04371527745233e829b31aae26e44025,2740755,2740474
http://localhost:8545,101,15,156.12,44.22,16.24,0.87,7.13,0xe4a3db0fe440c9008764b4b6235eb3a7dabc05968396cd526fb07b1b793a8e65,2740761,2740480
http://localhost:8545,102,23,156.22,44.22,55.10,1.50,8.15,0x06dfcc63650633291cc51b50baa09e1ac90f881cce05981a2dc7ce9a6be69c4e,2740731,2740450
http://localhost:8545,103,14,156.13,44.22,14.42,0.86,9.18,0x71d310e947095d1926bdc238541e67a24a1da3d75fe8deeb7f9f3d89008eb698,2740728,2740447
http://localhost:8545,104,17,156.07,44.22,16.29,0.87,8.12,0xe1508705f2e046c0807fe09806cae8dfb94edcd55eb6c62484a9d497313e995d,2740695,2740414
http://localhost:8545,105,14,156.22,44.22,14.03,0.87,8.13,0xcfc985ae5229a8a5a7e684e457d6407cf26c7cb40b3c22f15104562cc81b6584,2740794,2740513
http://localhost:8545,106,26,156.08,44.22,59.31,1.42,9.16,0xfa5881a1d5b737073dcbfb4fa5d4b2a5d5861ce2231b19e9a951699fada7d52b,2740746,2740465
http://localhost:8545,107,16,156.23,44.22,15.77,0.87,7.14,0xed77428e4f2d33dcd4a82df27296a756f2bfb2ea86baa9cfe083603b5b38abab,2740743,2740462
http://localhost:8545,108,15,156.29,44.22,15.03,0.87,8.12,0x16f1df7ee3853b4dbd9743c4827a79ec45661651b3d4311b2c028dc6d25f6351,2740758,2740477
http://localhost:8545,109,23,156.30,44.22,24.28,0.87,9.17,0x6830c1c86ca14bffb169342a080a51d44914e379d4acd9318753da0126ef73f0,2740791,2740510
http://localhost:8545,110,28,156.25,44.22,65.02,1.62,8.18,0x60d8c2e6c38a7fe8b0f8855061cd336f28384f6c4a0655cd93a11c214abbeffe,2740677,2740396
http://localhost:8545,111,12,156.17,44.22,12.47,0.86,8.13,0x02e3a2a4d60169731709fb97b23cc36447184ffa34e7342fd0ba497642277875,2740737,2740456
http://localhost:8545,112,15,156.06,44.22,16.53,0.86,7.16,0x2a05207fa0145bec3150a89d8d1863a99d7a85bad04d80586e7cefdc0afe3b2d,2740815,2740534
http://localhost:8545,113,16,156.08,44.22,15.57,0.85,9.14,0xc99f7439db495c858ee1d2f62051307419866fb71b715bc18d82a4822d8df146,2740698,2740417
http://localhost:8545,114,26,156.20,44.22,70.79,1.57,7.17,0xe969fc4fb8a7c5a9227a0974dddaa01852429b88eae9a588504d3e5c046b01f3,2740788,2740507
http://localhost:8545,115,18,156.21,44.22,17.99,0.87,8.12,0x2fdc13b16c8c3508de0b5bfba32ceaf30d11e50c1d173729ecea19104ca8b164,2740737,2740456
http://localhost:8545,116,15,156.31,44.22,14.94,0.86,9.12,0xeba022f690996394974cb9af6fc5e7c22bd7286b80c0a9c4a1937b51f82e2793,2740785,2740504
http://localhost:8545,117,16,156.11,44.22,15.81,0.86,9.16,0x5a7c79c8ba16e16c12c0be7b0980e4524aaa0e1337f31707b70dedf0532bd5b0,2740776,2740495
http://localhost:8545,118,30,156.16,44.22,68.47,1.45,7.14,0xea49158d3a93ad148c0d5edb0c0ed0757e6571a0624624fe5607c868a5aa0d9d,2740695,2740414
http://localhost:8545,119,29,156.26,44.22,28.32,0.86,8.13,0x2fe388fac5b0b4ad194c7aa0f651bbf2df8de90907e94d17841b8df706422720,2740815,2740534
http://localhost:8545,120,16,156.26,44.22,15.46,0.86,8.14,0x7aca81ee2383be20b23d3c2641bb1cc6f40c41f821a177e7f97a12ca05e5dc2e,2740734,2740453
http://localhost:8545,121,25,156.00,44.22,24.45,0.87,8.12,0x544b8fe9224c85ec53ba56d8b47267d6c638a74033df6db8342022ba8c6ffa61,2740719,2740438
http://localhost:8545,122,27,156.21,44.22,72.13,1.38,9.14,0x5a92e5e4eb2f5e2ee1613e48a94885a90d75aeefc1f9cef3a1bfa4733eb71f71,2740749,2740468
http://localhost:8545,123,14,156.01,44.22,14.62,0.87,8.14,0x80a15d85e5000f8300174fa17962c7ccd3bdf987941563292300c5016df9fb97,2740755,2740474
http://localhost:8545,124,21,156.27,44.22,20.74,0.87,7.12,0x86050eb82dcc74ab03493235b7b573e05119945459502b059f23c7fd0c5f4ad5,2740773,2740492
http://localhost:8545,125,17,156.32,44.22,17.28,0.88,9.13,0xf02897f2cc8b414e5820abcbb88d6d27ccea05f90dd136bb9da3dee6d3c8dd1b,2740752,2740471
http://localhost:8545,126,22,156.21,44.22,66.57,1.47,8.13,0x0de42af7ad27cd8c731abec3890cdfe6dbadbec508f0deac52cd9f99a66bbf85,2740749,2740468
http://localhost:8545,127,26,156.04,44.22,25.72,0.87,7.10,0x8c7b0f176fdb2f35691a1d3a05e6b8c6a3a0c784b2f1ed62093fa5cdf18d1052,2740683,2740402
http://localhost:8545,128,33,155.93,44.22,22.12,0.87,9.18,0x687f7f9e97321896508254f633ab8655a0ae05e1559e736d081057eccebc46f6,2740737,2740456
http://localhost:8545,129,16,156.13,44.22,16.26,0.88,8.12,0x470df1b07b73ddd97b766d6d561d66a6664f6927a6e8a4c0e74cbe073eb7399b,2740776,2740495
http://localhost:8545,130,20,155.96,44.22,51.59,1.50,7.12,0x0111c1dbd7ff80b86aacddfebb3118e671a744482ebd88e6004d7c6393eee04e,2740722,2740441
http://localhost:8545,131,16,156.22,44.22,19.87,0.86,9.12,0x470944fa78f3dbe11433370fdacba6ddf2bd5a2bc6e29e074b4ea15997a48c82,2740728,2740447
http://localhost:8545,132,18,156.08,44.22,17.92,0.86,7.12,0x2aa5b9089346bfd7d6e13526a0279d4397d9e6481395d67092ada08e612b934a,2740764,2740483
http://localhost:8545,133,26,156.21,44.22,26.06,0.86,9.14,0xca840c97ab2a27754ba8c1c871593b3ab9e9b90bdc45472adefa15949745be49,2740740,2740459
http://localhost:8545,134,35,156.18,44.22,82.98,1.42,7.12,0x190e906714f93a661f8a29195e0261ce3169ba6acdd4b1b3e5388f8839d0df42,2740776,2740495
http://localhost:8545,135,22,156.02,44.22,22.20,0.86,8.13,0xceb362eac4fcf79224a4e32a654034812d3373c9367a3057a1588de3fee4646b,2740755,2740474
http://localhost:8545,136,17,156.31,44.22,21.16,0.86,9.14,0xcf9415126d5ec8ab248940d4c289aa3537e56ad336bea7aef0d0e81c54717a63,2740752,2740471
http://localhost:8545,137,15,156.06,44.22,15.05,0.86,8.13,0x553b2cf6a005c42c905c808709021249919a1abcaee9fb7ad82905aa12fa9a46,2740791,2740510
http://localhost:8545,138,27,156.14,44.22,87.00,1.38,8.13,0x92da6aef3477eec942e000e4aa203b6340cc941eb6cdca4f632cffabecdb9960,2740752,2740471
