QoS_type,QoS_type_EncryptionTime(ms),QoS_type_EncryptedSize(KB),QoD_model,QoD_model_EncryptionTime(ms),QoD_model_EncryptedSize(KB),QoD_os-version,QoD_os-version_EncryptionTime(ms),QoD_os-version_EncryptedSize(KB),QoS_operator,QoS_operator_EncryptionTime(ms),QoS_operator_EncryptedSize(KB),MOS,MOS_EncryptionTime(ms),MOS_EncryptedSize(KB)
5,2.529,91.204,15,2.483,91.196,12,2.358,91.248,4,2.397,91.208,5,2.578,91.118
2,2.535,91.168,3,2.453,91.134,2,2.544,91.143,1,3.417,91.188,4,2.718,91.049
5,4.243,91.228,4,3.364,91.127,8,2.309,91.189,4,2.492,91.103,5,3.962,91.168
2,3.899,91.242,14,2.571,91.16,17,2.858,91.14,2,2.842,91.169,3,2.627,91.088
5,2.392,91.123,14,2.67,91.124,17,2.634,91.153,4,3.777,91.184,5,2.388,91.166
5,3.94,91.247,6,3.671,91.208,5,3.718,91.185,4,2.357,91.151,5,2.392,91.208
5,3.651,91.131,14,2.483,91.257,17,2.313,91.179,4,2.334,91.224,5,2.277,91.199
4,2.339,91.189,15,2.656,91.11,11,2.818,91.138,4,2.245,91.245,4,2.451,91.16
5,2.31,91.169,14,2.667,91.159,17,2.235,91.089,4,2.477,91.1,5,2.394,91.163
2,2.571,91.18,15,2.75,91.23,11,2.763,91.12,2,2.289,91.203,4,2.258,91.177
5,2.579,91.148,14,2.413,91.248,17,2.637,91.091,4,2.415,91.24,5,2.721,91.188
5,2.579,91.204,7,2.427,91.18,3,4.109,91.188,4,4.566,91.17,4,3.491,91.263
4,2.881,91.245,6,4.09,91.142,14,2.292,91.211,4,3.976,91.206,5,4.06,91.188
5,2.349,91.146,14,2.354,91.261,17,2.262,91.19,4,2.37,91.104,3,2.42,91.112
3,3.672,91.149,3,2.421,91.144,2,2.407,91.238,4,2.632,91.037,4,2.535,91.173
5,2.302,91.193,5,2.502,91.267,7,2.581,91.201,4,2.35,91.158,4,2.388,91.255
2,2.614,91.113,14,2.412,91.18,17,2.841,91.126,2,2.817,91.18,5,2.522,91.175
5,3.478,91.181,8,2.552,91.27,4,2.776,91.157,4,2.287,91.133,4,2.683,91.159
2,2.685,91.187,8,2.615,91.152,4,2.35,91.293,2,2.342,91.133,5,3.774,91.18
3,3.793,91.207,3,3.784,91.218,2,2.295,91.295,4,2.413,91.168,4,2.381,91.175
2,2.329,91.246,3,3.981,91.245,2,4.134,91.121,1,2.931,91.167,3,2.949,91.16
5,2.46,91.198,14,2.368,91.144,17,3.967,91.07,4,2.595,91.107,4,4.01,91.223
5,4.009,91.15,14,4.502,91.161,17,2.347,91.181,4,2.405,91.097,4,2.371,91.176
3,3.571,91.137,14,2.2,91.163,17,3.786,91.235,4,3.61,91.146,4,3.616,91.175
3,3.726,91.161,14,3.824,91.21,17,2.415,91.216,4,2.395,91.251,4,2.408,91.143
5,2.299,91.249,6,2.379,91.178,14,2.263,91.177,1,2.336,91.213,5,3.966,91.192
5,3.807,91.136,15,5.516,91.155,9,2.942,91.266,4,3.825,91.137,4,2.597,91.106
5,3.32,91.212,14,2.613,91.118,17,2.511,91.125,4,2.373,91.229,5,2.776,91.224
5,2.354,91.098,14,2.666,91.147,17,3.096,91.094,4,2.993,91.138,3,2.653,91.182
5,2.233,91.138,14,3.586,91.261,17,3.068,91.265,4,2.217,91.167,4,2.365,91.2
5,2.623,91.13,14,2.943,91.293,17,2.525,91.1,4,2.345,91.136,5,2.424,91.232
5,2.408,91.168,14,2.281,91.187,17,2.438,91.083,4,4.048,91.266,4,4.289,91.177
3,4.269,91.185,3,2.318,91.114,2,2.453,91.152,1,2.59,91.209,4,4.326,91.17
2,4.009,91.236,1,2.366,91.159,1,3.861,91.091,4,2.533,91.182,4,2.39,91.181
3,2.315,91.198,3,3.724,91.21,2,2.403,91.178,1,2.608,91.238,5,2.49,91.197
5,2.384,91.239,8,2.283,91.192,4,2.344,91.179,4,2.329,91.127,4,2.569,91.183
5,2.372,91.071,14,2.409,91.165,17,2.651,91.245,4,2.757,91.214,3,2.305,91.193
5,2.368,91.238,14,2.869,91.171,17,2.443,91.26,4,2.251,91.11,5,2.331,91.149
5,2.485,91.15,14,3.894,91.148,17,2.301,91.175,4,4.047,91.225,4,6.215,91.238
5,3.9,91.228,8,3.144,91.113,4,2.891,91.101,4,2.415,91.207,1,2.549,91.098
5,3.812,91.226,3,2.708,91.093,2,3.753,91.188,4,4.113,91.163,3,3.993,91.191
2,2.475,91.171,3,2.677,91.181,2,2.305,91.138,1,2.32,91.158,4,2.51,91.194
5,2.572,91.192,7,3.042,91.299,3,2.243,91.111,4,4.125,91.214,4,2.269,91.185
2,2.371,91.168,3,2.383,91.127,2,2.398,91.197,2,2.324,91.267,4,4.299,91.193
5,2.779,91.124,14,2.419,91.191,17,2.657,91.348,4,2.621,91.097,3,3.683,91.08
2,3.948,91.219,8,3.844,91.207,4,2.352,91.14,1,3.998,91.102,4,3.95,91.223
4,4.164,91.146,6,2.405,91.15,14,3.158,91.2,4,2.296,91.099,3,2.329,91.159
2,2.334,91.177,3,2.284,91.163,2,2.339,91.263,1,4.198,91.218,3,3.226,91.109
5,2.855,91.185,6,3.611,91.065,14,2.514,91.196,4,2.84,91.171,4,2.483,91.269
4,3.19,91.17,15,2.808,91.201,11,2.791,91.215,4,2.691,91.12,5,3.027,91.097
5,3.887,91.197,5,3.722,91.144,7,3.775,91.143,4,2.285,91.131,5,2.28,91.176
5,3.87,91.129,14,2.403,91.063,17,2.968,91.204,4,2.355,91.172,4,2.373,91.171
3,3.739,91.186,3,2.428,91.204,2,2.288,91.249,4,2.316,91.096,4,2.412,91.229
5,2.674,91.192,14,2.44,91.162,17,2.282,91.263,4,2.553,91.231,5,2.538,91.113
5,4.131,91.188,14,3.454,91.155,17,3.229,91.081,4,3.31,91.214,3,2.578,91.159
5,3.459,91.222,3,4.342,91.243,2,4.553,91.17,4,2.6,91.18,4,2.354,91.125
5,2.604,91.203,8,2.36,91.041,4,2.404,91.146,4,2.64,91.178,3,2.732,91.229
2,2.346,91.23,15,2.269,91.225,11,2.335,91.279,2,2.427,91.194,2,3.741,91.268
3,3.614,91.26,6,3.877,91.155,14,2.691,91.131,4,2.278,91.239,5,2.308,91.126
5,2.445,91.268,3,2.31,91.222,2,3.87,91.194,4,2.363,91.201,4,2.253,91.342
2,2.55,91.168,6,2.923,91.152,14,2.825,91.268,2,2.657,91.151,5,3.929,91.238
5,3.846,91.193,14,2.338,91.209,17,2.467,91.244,4,2.435,91.189,4,2.425,91.214
5,2.43,91.15,14,2.831,91.098,17,2.288,91.188,1,2.53,91.146,4,2.386,91.216
5,2.27,91.19,3,2.359,91.159,2,2.58,91.133,4,2.571,91.205,4,2.508,91.253
4,2.608,91.206,3,2.229,91.157,2,2.508,91.138,1,3.851,91.186,4,2.51,91.198
5,2.652,91.163,14,2.464,91.224,17,2.338,91.188,4,3.99,91.15,3,3.713,91.21
2,3.242,91.268,3,2.342,91.169,2,2.613,91.126,1,2.564,91.201,3,2.33,91.168
4,2.266,91.112,8,2.519,91.189,4,2.309,91.215,3,2.44,91.205,4,2.256,91.227
2,2.322,91.194,15,2.424,91.125,11,2.458,91.206,2,2.367,91.15,3,2.938,91.154
5,4.667,91.102,14,2.922,91.234,17,3.162,91.227,4,3.914,91.172,4,3.674,91.262
5,3.185,91.206,14,3.705,91.162,17,4.057,91.201,4,3.92,91.196,2,4.033,91.097
2,2.352,91.141,15,2.424,91.281,11,2.613,91.149,2,2.221,91.105,4,2.333,91.127
2,2.32,91.186,3,2.395,91.148,2,2.257,91.157,1,4.105,91.215,5,3.801,91.188
5,2.814,91.148,3,3.933,91.159,2,4.586,91.056,4,3.467,91.128,4,2.304,91.13
5,2.292,91.063,14,2.232,91.239,17,2.517,91.271,4,2.635,91.187,5,2.644,91.17
5,2.669,91.208,14,2.588,91.14,17,2.828,91.225,4,2.404,91.311,5,2.547,91.233
2,2.595,91.107,15,4.077,91.19,11,3.018,91.195,4,2.516,91.218,4,2.31,91.288
5,3.985,91.133,14,4.044,91.233,17,2.707,91.146,4,2.266,91.104,4,2.355,91.236
5,2.317,91.199,15,2.341,91.229,11,2.57,91.123,4,2.363,91.304,4,3.826,91.144
5,2.339,91.121,14,3.149,91.224,17,2.815,91.166,4,2.461,91.112,4,2.383,91.112
5,2.529,91.111,15,3.883,91.164,9,2.359,91.198,4,2.421,91.187,4,2.644,91.048
5,2.42,91.193,14,2.206,91.197,17,2.427,91.126,4,2.362,91.229,3,2.279,91.162
